날짜,강수량
2023-08-31,18.35
2023-09-01,3.0
2023-09-02,1.8
2023-09-03,0.0
2023-09-04,0.75
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,0.2
2023-09-13,7.9
2023-09-14,6.55
2023-09-15,14.1
2023-09-16,17.05
2023-09-17,8.65
2023-09-18,1.2
2023-09-19,0.0
2023-09-20,49.65
2023-09-21,11.9
2023-09-22,0.0
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,1.9
2023-09-26,31.0
2023-09-27,0.75
2023-09-28,0.0
2023-09-29,0.0
2023-09-30,3.35
2023-10-01,0.0
2023-10-02,0.0
2023-10-03,0.55
2023-10-04,0.55
2023-10-05,0.0
2023-10-06,0.0
2023-10-07,0.15
2023-10-08,0.1
2023-10-09,0.45
2023-10-10,0.0
2023-10-11,0.0
2023-10-12,0.0
2023-10-13,0.0
2023-10-14,0.8
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,0.0
2023-10-18,0.0
2023-10-19,1.6
2023-10-20,1.55
2023-10-21,0.0
2023-10-22,0.0
2023-10-23,0.0
2023-10-24,0.0
2023-10-25,0.0
2023-10-26,0.0
2023-10-27,0.45
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,0.0
2023-11-04,0.85
2023-11-05,1.2
2023-11-06,16.15
2023-11-07,0.0
2023-11-08,0.0
2023-11-09,1.0
2023-11-10,4.85
2023-11-11,0.0
2023-11-12,0.0
2023-11-13,0.0
2023-11-14,0.0
2023-11-15,0.0
2023-11-16,5.15
2023-11-17,0.1
2023-11-18,0.65
2023-11-19,0.0
2023-11-20,0.0
2023-11-21,0.0
2023-11-22,0.0
2023-11-23,0.0
2023-11-24,0.0
2023-11-25,0.0
2023-11-26,0.0
2023-11-27,0.5
2023-11-28,0.0
2023-11-29,0.0
2023-11-30,0.0
2023-12-01,0.0
2023-12-02,0.0
2023-12-03,0.0
2023-12-04,0.0
2023-12-05,0.0
2023-12-06,2.1
2023-12-07,0.0
2023-12-08,0.0
2023-12-09,0.0
2023-12-10,0.0
2023-12-11,46.1
2023-12-12,0.75
2023-12-13,0.0
2023-12-14,20.8
2023-12-15,55.15
2023-12-16,0.7
2023-12-17,0.0
2023-12-18,0.0
2023-12-19,0.0
2023-12-20,0.0
2023-12-21,0.0
2023-12-22,0.0
2023-12-23,0.0
2023-12-24,0.0
2023-12-25,0.0
2023-12-26,0.0
2023-12-27,0.0
2023-12-28,0.0
2023-12-29,0.0
2023-12-30,0.15
2023-12-31,0.45
2024-01-01,0.0
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,0.0
2024-01-05,0.0
2024-01-06,0.0
2024-01-07,0.0
2024-01-08,0.0
2024-01-09,1.7
2024-01-10,0.05
2024-01-11,0.0
2024-01-12,0.0
2024-01-13,0.0
2024-01-14,0.45
2024-01-15,0.0
2024-01-16,0.0
2024-01-17,2.35
2024-01-18,7.25
2024-01-19,0.75
2024-01-20,8.8
2024-01-21,1.25
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,0.0
2024-01-25,0.0
2024-01-26,0.0
2024-01-27,0.0
2024-01-28,0.0
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,0.0
2024-02-02,0.0
2024-02-03,2.6
2024-02-04,0.9
2024-02-05,12.85
2024-02-06,0.05
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,1.0
2024-02-15,0.2
2024-02-16,0.0
2024-02-17,0.0
2024-02-18,7.9
2024-02-19,17.85
2024-02-20,3.65
2024-02-21,5.7
2024-02-22,6.45
2024-02-23,0.7
2024-02-24,0.4
2024-02-25,1.3
2024-02-26,0.1
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,5.25
2024-03-01,0.0
2024-03-02,0.0
2024-03-03,0.2
2024-03-04,0.0
2024-03-05,6.5
2024-03-06,0.5
2024-03-07,0.9
2024-03-08,0.0
2024-03-09,0.0
2024-03-10,0.0
2024-03-11,0.0
2024-03-12,0.9
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.0
2024-03-16,0.0
2024-03-17,0.0
2024-03-18,0.0
2024-03-19,0.05
2024-03-20,0.2
2024-03-21,0.0
2024-03-22,1.65
2024-03-23,0.25
2024-03-24,0.35
2024-03-25,13.35
2024-03-26,16.95
2024-03-27,0.0
2024-03-28,22.55
2024-03-29,0.0
2024-03-30,0.35
2024-03-31,0.0
2024-04-01,0.0
2024-04-02,1.5
2024-04-03,29.15
2024-04-04,0.35
2024-04-05,0.0
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,13.0
2024-04-16,0.5
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.0
2024-04-20,5.35
2024-04-21,0.8
2024-04-22,0.0
2024-04-23,5.95
2024-04-24,3.2
2024-04-25,0.0
2024-04-26,0.0
2024-04-27,0.0
2024-04-28,0.0
2024-04-29,1.75
2024-04-30,0.7
2024-05-01,0.5
2024-05-02,0.0
2024-05-03,0.0
2024-05-04,0.0
2024-05-05,14.6
2024-05-06,9.0
2024-05-07,3.5
2024-05-08,0.95
2024-05-09,0.0
2024-05-10,0.0
2024-05-11,2.9
2024-05-12,3.7
2024-05-13,0.0
2024-05-14,0.0
2024-05-15,24.6
2024-05-16,8.8
2024-05-17,0.0
2024-05-18,0.0
2024-05-19,0.0
2024-05-20,0.0
2024-05-21,0.0
2024-05-22,0.0
