날짜,가격
2023-06-16,5370
2023-06-17,5370
2023-06-18,5370
2023-06-19,5423
2023-06-20,5423
2023-06-21,5423
2023-06-22,5493
2023-06-23,5455
2023-06-24,5455
2023-06-25,5455
2023-06-26,5470
2023-06-27,5470
2023-06-28,5470
2023-06-29,5426
2023-06-30,5426
2023-07-01,5426
2023-07-02,5426
2023-07-03,5444
2023-07-04,5553
2023-07-05,5538
2023-07-06,5198
2023-07-07,5177
2023-07-08,5177
2023-07-09,5177
2023-07-10,5179
2023-07-11,5183
2023-07-12,5191
2023-07-13,5653
2023-07-14,5792
2023-07-15,5792
2023-07-16,5792
2023-07-17,5858
2023-07-18,5961
2023-07-19,5954
2023-07-20,5602
2023-07-21,5616
2023-07-22,5616
2023-07-23,5616
2023-07-24,5634
2023-07-25,5724
2023-07-26,5805
2023-07-27,6029
2023-07-28,6025
2023-07-29,6025
2023-07-30,6025
2023-07-31,6126
2023-08-01,6220
2023-08-02,6299
2023-08-03,6601
2023-08-04,6625
2023-08-05,6625
2023-08-06,6625
2023-08-07,6737
2023-08-08,6860
2023-08-09,6839
2023-08-10,7073
2023-08-11,6864
2023-08-12,6864
2023-08-13,6864
2023-08-14,6868
2023-08-15,6868
2023-08-16,6804
2023-08-17,6742
2023-08-18,6717
2023-08-19,6717
2023-08-20,6717
2023-08-21,6825
2023-08-22,6828
2023-08-23,6808
2023-08-24,6468
2023-08-25,6452
2023-08-26,6452
2023-08-27,6452
2023-08-28,6465
2023-08-29,6441
2023-08-30,6402
2023-08-31,6372
2023-09-01,6124
2023-09-02,6124
2023-09-03,6124
2023-09-04,6467
2023-09-05,6474
2023-09-06,6465
2023-09-07,6470
2023-09-08,6463
2023-09-09,6463
2023-09-10,6463
2023-09-11,6525
2023-09-12,6469
2023-09-13,6432
2023-09-14,5573
2023-09-15,5540
2023-09-16,5540
2023-09-17,5540
2023-09-18,5497
2023-09-19,5491
2023-09-20,5508
2023-09-21,5529
2023-09-22,5529
2023-09-23,5572
2023-09-24,5572
2023-09-25,5606
2023-09-26,5640
2023-09-27,5535
2023-09-28,5535
2023-09-29,5535
2023-09-30,5535
2023-10-01,5535
2023-10-02,5535
2023-10-03,5535
