날짜,Average_Value
2022.03.24,7.1000000000000005
2022.03.25,12.433333333333335
2022.03.26,10.0
2022.03.27,7.866666666666666
2022.03.28,7.166666666666667
2022.03.29,9.233333333333334
2022.03.30,11.166666666666666
2022.03.31,9.066666666666668
2022.04.01,7.766666666666667
2022.04.02,6.333333333333333
2022.04.03,7.533333333333334
2022.04.04,8.5
2022.04.05,8.4
2022.04.06,10.166666666666666
2022.04.07,9.9
2022.04.08,11.566666666666668
2022.04.09,15.6
2022.04.10,16.533333333333335
2022.04.11,18.8
2022.04.12,18.400000000000002
2022.04.13,12.733333333333334
2022.04.14,11.533333333333333
2022.04.15,11.966666666666667
2022.04.16,11.266666666666666
2022.04.17,11.699999999999998
2022.04.18,13.333333333333334
2022.04.19,13.200000000000001
2022.04.20,13.033333333333331
2022.04.21,13.166666666666666
2022.04.22,15.4
2022.04.23,16.4
2022.04.24,17.53333333333333
2022.04.25,18.833333333333332
2022.04.26,17.433333333333334
2022.04.27,15.5
2022.04.28,14.933333333333332
2022.04.29,12.366666666666667
2022.04.30,12.299999999999999
2022.05.01,12.233333333333334
2022.05.02,12.433333333333332
2022.05.03,12.233333333333333
2022.05.04,14.733333333333334
2022.05.05,16.86666666666667
2022.05.06,18.53333333333333
2022.05.07,16.766666666666666
2022.05.08,14.366666666666665
2022.05.09,15.800000000000002
2022.05.10,16.7
2022.05.11,18.3
2022.05.12,19.066666666666666
2022.05.13,16.73333333333333
2022.05.14,14.666666666666666
2022.05.15,14.566666666666668
2022.05.16,15.5
2022.05.17,17.96666666666667
2022.05.18,19.433333333333334
2022.05.19,18.733333333333334
2022.05.20,19.03333333333333
2022.05.21,19.133333333333333
2022.05.22,19.433333333333334
2022.05.23,20.95
2022.05.24,21.3
2022.05.25,20.049999999999997
2022.05.26,17.9
2022.05.27,19.45
2022.05.28,20.9
2022.05.29,20.8
2022.05.30,19.63333333333333
2022.05.31,19.366666666666667
2022.06.01,20.599999999999998
2022.06.02,20.6
2022.06.03,22.46666666666667
2022.06.04,22.96666666666667
2022.06.05,18.866666666666664
2022.06.06,19.166666666666668
2022.06.07,18.46666666666667
2022.06.08,19.933333333333334
2022.06.09,20.366666666666667
2022.06.10,21.3
2022.06.11,22.566666666666666
2022.06.12,21.866666666666664
2022.06.13,22.2
2022.06.14,19.066666666666666
2022.06.15,19.166666666666668
2022.06.16,20.8
2022.06.17,22.099999999999998
2022.06.18,23.366666666666664
2022.06.19,24.066666666666666
2022.06.20,24.533333333333335
2022.06.21,25.133333333333336
2022.06.22,25.3
2022.06.23,24.633333333333336
2022.06.24,24.0
2022.06.25,26.0
2022.06.26,26.799999999999997
2022.06.27,27.53333333333333
2022.06.28,28.266666666666666
2022.06.29,26.46666666666667
2022.06.30,25.73333333333333
2022.07.01,26.53333333333333
2022.07.02,27.400000000000002
2022.07.03,27.933333333333334
2022.07.04,27.46666666666667
2022.07.05,27.2
2022.07.06,28.566666666666666
2022.07.07,28.566666666666666
2022.07.08,26.666666666666668
2022.07.09,26.633333333333336
2022.07.10,27.7
2022.07.11,25.833333333333332
2022.07.12,26.3
2022.07.13,25.233333333333334
2022.07.14,25.833333333333332
2022.07.15,25.933333333333337
2022.07.16,25.03333333333333
2022.07.17,25.366666666666664
2022.07.18,24.0
2022.07.19,25.5
2022.07.20,26.366666666666664
2022.07.21,23.96666666666667
2022.07.22,24.333333333333332
2022.07.23,24.3
2022.07.24,24.46666666666667
2022.07.25,26.100000000000005
2022.07.26,26.366666666666664
2022.07.27,26.633333333333336
2022.07.28,27.366666666666664
2022.07.29,29.266666666666666
2022.07.30,28.5
2022.07.31,26.366666666666664
2022.08.01,27.7
2022.08.02,27.766666666666666
2022.08.03,27.73333333333333
2022.08.04,28.433333333333334
2022.08.05,28.633333333333336
2022.08.06,28.900000000000002
2022.08.07,29.13333333333333
2022.08.08,28.0
2022.08.09,27.866666666666664
2022.08.10,26.2
2022.08.11,25.766666666666666
2022.08.12,26.599999999999998
2022.08.13,26.033333333333335
2022.08.14,27.566666666666663
2022.08.15,28.5
2022.08.16,26.400000000000002
2022.08.17,24.933333333333337
2022.08.18,24.766666666666666
2022.08.19,26.2
2022.08.20,26.900000000000002
2022.08.21,26.366666666666664
2022.08.22,26.23333333333333
2022.08.23,25.0
2022.08.24,23.73333333333333
2022.08.25,22.366666666666664
2022.08.26,22.96666666666667
2022.08.27,21.6
2022.08.28,20.833333333333332
2022.08.29,20.7
2022.08.30,21.233333333333334
2022.08.31,21.96666666666667
