날짜,평균기온
2022.12.31,-5
2023.01.01,-2.85
2023.01.02,-7.15
2023.01.03,-8.4
2023.01.04,-6.7
2023.01.05,-6.5
2023.01.06,-3.1
2023.01.07,-0.45
2023.01.08,-3.25
2023.01.09,0.8
2023.01.10,-2.75
2023.01.11,-2.25
2023.01.12,0.15
2023.01.13,3.7
2023.01.14,3.9
2023.01.15,-0.55
2023.01.16,-5.05
2023.01.17,-5.95
2023.01.18,-4.25
2023.01.19,-2.75
2023.01.20,-4.1
2023.01.21,-8.15
2023.01.22,-2.9
2023.01.23,-1.65
2023.01.24,-14.7
2023.01.25,-13.85
2023.01.26,-8.2
2023.01.27,-9.35
2023.01.28,-7.85
2023.01.29,-4.6
2023.01.30,-3.3
2023.01.31,0.1
2023.02.01,0.7
2023.02.02,-4
2023.02.03,-2.9
2023.02.04,-3.1
2023.02.05,-1.9
2023.02.06,-0.4
2023.02.07,0.4
2023.02.08,-0.4
2023.02.09,1.5
2023.02.10,2.1
2023.02.11,-0.45
2023.02.12,1
2023.02.13,4.35
2023.02.14,0.6
2023.02.15,1.1
2023.02.16,0.25
2023.02.17,0.55
2023.02.18,2.95
2023.02.19,2.85
2023.02.20,-1.1
2023.02.21,-2.8
2023.02.22,-0.6
2023.02.23,2.15
2023.02.24,2
2023.02.25,-0.55
2023.02.26,0.2
2023.02.27,2.45
2023.02.28,2.6
2023.03.01,4.6
2023.03.02,1.45
2023.03.03,2.05
2023.03.04,4.95
2023.03.05,5.9
2023.03.06,5.95
2023.03.07,8.85
2023.03.08,9.25
2023.03.09,10.05
2023.03.10,10.7
2023.03.11,13.25
2023.03.12,5.05
2023.03.13,2.2
2023.03.14,6.7
2023.03.15,7.1
2023.03.16,3.5
2023.03.17,5.1
2023.03.18,6.7
2023.03.19,6.6
2023.03.20,7.6
2023.03.21,10.4
2023.03.22,14.55
2023.03.23,15.4
2023.03.24,10.55
2023.03.25,11.15
2023.03.26,8.8
2023.03.27,5.7
2023.03.28,7.25
2023.03.29,10
2023.03.30,11.8
2023.03.31,13.1
2023.04.01,15.2
2023.04.02,15.95
2023.04.03,15.7
2023.04.04,15.75
2023.04.05,11.7
2023.04.06,8.75
2023.04.07,8.05
2023.04.08,7.6
2023.04.09,9.05
2023.04.10,11.5
2023.04.11,12.5
2023.04.12,9.5
2023.04.13,10.5
2023.04.14,13.7
2023.04.15,12
2023.04.16,9.55
2023.04.17,10.9
2023.04.18,12.25
2023.04.19,17.95
2023.04.20,16.6
2023.04.21,16.75
2023.04.22,14.35
2023.04.23,14.2
2023.04.24,14.7
2023.04.25,8.75
2023.04.26,9.7
2023.04.27,11.4
2023.04.28,14.25
2023.04.29,12.55
2023.04.30,12.7
2023.05.01,13.8
2023.05.02,14.65
2023.05.03,17.7
2023.05.04,19.95
2023.05.05,16.85
2023.05.06,11.25
2023.05.07,11.9
2023.05.08,13.35
2023.05.09,15.75
2023.05.10,17.05
2023.05.11,17.9
2023.05.12,16.8
2023.05.13,16.8
2023.05.14,16.9
2023.05.15,18.6
2023.05.16,22.05
2023.05.17,21.65
2023.05.18,19.85
2023.05.19,19.7
2023.05.20,20.1
2023.05.21,18.35
2023.05.22,18.45
2023.05.23,17.75
2023.05.24,18.75
2023.05.25,19.95
2023.05.26,19.9
2023.05.27,17.7
2023.05.28,19
2023.05.29,22.45
2023.05.30,21.55
2023.05.31,21.55
2023.06.01,21.6
2023.06.02,20.7
2023.06.03,21.35
2023.06.04,21
2023.06.05,20.5
2023.06.06,20
2023.06.07,20.95
2023.06.08,20.4
2023.06.09,21.15
2023.06.10,20.7
2023.06.11,20.75
2023.06.12,21.4
2023.06.13,21
2023.06.14,20.55
2023.06.15,21.6
2023.06.16,23.15
2023.06.17,23.6
2023.06.18,25.2
2023.06.19,26.65
2023.06.20,22.8
2023.06.21,19.6
2023.06.22,21
2023.06.23,22.85
2023.06.24,24.8
2023.06.25,26.25
2023.06.26,23.1
2023.06.27,24.4
2023.06.28,25.15
2023.06.29,23.35
2023.06.30,25.55
2023.07.01,27.3
2023.07.02,26.3
2023.07.03,27.3
2023.07.04,25
2023.07.05,24.05
2023.07.06,26.1
2023.07.07,24.6
2023.07.08,24.7
2023.07.09,23.6
2023.07.10,26.1
2023.07.11,22.45
2023.07.12,24.9
2023.07.13,24.4
2023.07.14,24.7
2023.07.15,24.1
2023.07.16,24.05
2023.07.17,24.35
2023.07.18,23.95
2023.07.19,25.85
2023.07.20,26.6
2023.07.21,27.45
2023.07.22,26.35
2023.07.23,24.75
2023.07.24,26.65
2023.07.25,26.6
2023.07.26,25.1
2023.07.27,27.3
2023.07.28,27.65
2023.07.29,27.65
2023.07.30,28
2023.07.31,27.6
2023.08.01,28.1
2023.08.02,27.9
2023.08.03,27.7
2023.08.04,28.25
2023.08.05,28.8
2023.08.06,28.4
2023.08.07,27.65
2023.08.08,28.15
2023.08.09,25.45
2023.08.10,21.5
2023.08.11,23.25
2023.08.12,23.05
2023.08.13,25.5
2023.08.14,27.15
2023.08.15,26.65
2023.08.16,26.35
2023.08.17,26.55
2023.08.18,27.8
2023.08.19,28.25
2023.08.20,27.25
2023.08.21,27.45
2023.08.22,26.75
2023.08.23,24.25
2023.08.24,23.4
2023.08.25,25.2
2023.08.26,24.15
2023.08.27,24
2023.08.28,22
2023.08.29,23.3
2023.08.30,21.9
2023.08.31,22.45
2023.09.01,21.45
2023.09.02,22.2
2023.09.03,24.15
2023.09.04,25.4
2023.09.05,26
2023.09.06,25.2
2023.09.07,23.1
2023.09.08,21.9
2023.09.09,23.35
2023.09.10,23.85
2023.09.11,23.8
2023.09.12,23.6
2023.09.13,20.25
2023.09.14,21.65
2023.09.15,21.1
2023.09.16,22.85
2023.09.17,23.9
2023.09.18,23.9
2023.09.19,22.65
2023.09.20,19.6
2023.09.21,18.25
2023.09.22,17.45
2023.09.23,18.6
2023.09.24,19.25
2023.09.25,20.1
2023.09.26,19.6
2023.09.27,20.85
2023.09.28,21.6
