날짜,경유가격
2022-04-15,1899
2022-04-16,1898
2022-04-17,1898
2022-04-18,1899
2022-04-19,1899
2022-04-20,1900
2022-04-21,1900
2022-04-22,1901
2022-04-23,1902
2022-04-24,1902
2022-04-25,1906
2022-04-26,1908
2022-04-27,1909
2022-04-28,1911
2022-04-29,1915
2022-04-30,1920
2022-05-01,1908
2022-05-02,1904
2022-05-03,1903
2022-05-04,1906
2022-05-05,1910
2022-05-06,1914
2022-05-07,1920
2022-05-08,1924
2022-05-09,1931
2022-05-10,1941
2022-05-11,1947
2022-05-12,1953
2022-05-13,1959
2022-05-14,1964
2022-05-15,1966
2022-05-16,1970
2022-05-17,1976
2022-05-18,1981
2022-05-19,1986
2022-05-20,1990
2022-05-21,1994
2022-05-22,1995
2022-05-23,1998
2022-05-24,2000
2022-05-25,2002
2022-05-26,2003
2022-05-27,2005
2022-05-28,2005
2022-05-29,2006
2022-05-30,2007
2022-05-31,2008
2022-06-01,2009
2022-06-02,2011
2022-06-03,2013
2022-06-04,2018
2022-06-05,2021
2022-06-06,2023
2022-06-07,2027
2022-06-08,2036
2022-06-09,2044
2022-06-10,2054
2022-06-11,2063
2022-06-12,2067
2022-06-13,2074
2022-06-14,2083
2022-06-15,2090
2022-06-16,2096
2022-06-17,2104
2022-06-18,2112
2022-06-19,2115
2022-06-20,2120
2022-06-21,2127
2022-06-22,2133
2022-06-23,2138
2022-06-24,2143
2022-06-25,2147
2022-06-26,2149
2022-06-27,2153
2022-06-28,2158
2022-06-29,2163
2022-06-30,2167
2022-07-01,2157
2022-07-02,2155
2022-07-03,2154
2022-07-04,2153
2022-07-05,2150
2022-07-06,2148
2022-07-07,2145
2022-07-08,2140
2022-07-09,2136
2022-07-10,2134
2022-07-11,2131
2022-07-12,2124
2022-07-13,2117
2022-07-14,2108
2022-07-15,2099
2022-07-16,2092
2022-07-17,2088
2022-07-18,2082
2022-07-19,2072
2022-07-20,2063
2022-07-21,2055
2022-07-22,2046
2022-07-23,2036
2022-07-24,2032
2022-07-25,2024
2022-07-26,2015
2022-07-27,2006
2022-07-28,1998
2022-07-29,1991
2022-07-30,1985
2022-07-31,1982
2022-08-01,1976
2022-08-02,1969
2022-08-03,1963
2022-08-04,1956
2022-08-05,1950
2022-08-06,1944
2022-08-07,1941
2022-08-08,1935
2022-08-09,1928
2022-08-10,1920
2022-08-11,1911
2022-08-12,1902
2022-08-13,1895
2022-08-14,1892
2022-08-15,1887
2022-08-16,1880
2022-08-17,1870
2022-08-18,1863
2022-08-19,1857
2022-08-20,1852
2022-08-21,1850
2022-08-22,1846
2022-08-23,1842
2022-08-24,1839
2022-08-25,1838
2022-08-26,1838
2022-08-27,1838
2022-08-28,1839
2022-08-29,1840
2022-08-30,1845
2022-08-31,1847
2022-09-01,1850
2022-09-02,1850
2022-09-03,1850
2022-09-04,1850
2022-09-05,1851
2022-09-06,1851
2022-09-07,1852
2022-09-08,1853
2022-09-09,1854
2022-09-10,1855
2022-09-11,1855
2022-09-12,1856
2022-09-13,1857
2022-09-14,1858
2022-09-15,1860
2022-09-16,1860
2022-09-17,1859
2022-09-18,1859
2022-09-19,1858
2022-09-20,1855
2022-09-21,1852
2022-09-22,1849
2022-09-23,1847
2022-09-24,1844
2022-09-25,1843
2022-09-26,1841
