날짜,평균기온
2022-09-23,19.9
2022-09-24,19.6
2022-09-25,18.85
2022-09-26,19.5
2022-09-27,19.7
2022-09-28,20.0
2022-09-29,20.75
2022-09-30,20.95
2022-10-01,22.0
2022-10-02,20.9
2022-10-03,23.2
2022-10-04,18.3
2022-10-05,14.9
2022-10-06,15.45
2022-10-07,14.55
2022-10-08,15.05
2022-10-09,15.4
2022-10-10,13.25
2022-10-11,14.4
2022-10-12,13.85
2022-10-13,15.65
2022-10-14,16.2
2022-10-15,17.3
2022-10-16,17.6
2022-10-17,14.8
2022-10-18,11.6
2022-10-19,11.1
2022-10-20,13.3
2022-10-21,16.9
2022-10-22,18.35
2022-10-23,13.7
2022-10-24,10.05
2022-10-25,9.3
2022-10-26,12.9
2022-10-27,14.4
2022-10-28,12.45
2022-10-29,13.25
2022-10-30,13.3
2022-10-31,14.2
2022-11-01,14.7
2022-11-02,12.55
2022-11-03,12.3
2022-11-04,9.25
2022-11-05,9.95
2022-11-06,9.6
2022-11-07,11.05
2022-11-08,11.8
2022-11-09,12.95
2022-11-10,15.1
2022-11-11,16.5
2022-11-12,19.2
2022-11-13,12.8
2022-11-14,11.45
2022-11-15,9.85
2022-11-16,9.9
2022-11-17,10.2
2022-11-18,10.95
2022-11-19,13.55
2022-11-20,12.75
2022-11-21,12.65
2022-11-22,12.15
2022-11-23,11.5
2022-11-24,10.15
2022-11-25,12.6
2022-11-26,10.95
2022-11-27,9.3
2022-11-28,14.6
2022-11-29,11.35
2022-11-30,0.7
2022-12-01,-0.35
2022-12-02,1.2
2022-12-03,6.85
2022-12-04,3.15
2022-12-05,1.55
2022-12-06,2.25
2022-12-07,5.05
2022-12-08,6.0
2022-12-09,5.5
2022-12-10,4.85
2022-12-11,4.95
2022-12-12,4.4
2022-12-13,5.1
2022-12-14,-2.7
2022-12-15,0.55
2022-12-16,0.95
2022-12-17,-1.85
2022-12-18,-4.6
2022-12-19,-2.6
2022-12-20,1.65
2022-12-21,4.75
2022-12-22,-2.3
2022-12-23,-5.4
2022-12-24,-1.75
2022-12-25,1.05
2022-12-26,0.95
2022-12-27,2.05
2022-12-28,1.0
2022-12-29,-0.1
2022-12-30,1.25
2022-12-31,1.15
2023-01-01,3.15
2023-01-02,1.35
2023-01-03,1.05
2023-01-04,1.3
2023-01-05,2.8
2023-01-06,4.45
2023-01-07,4.35
2023-01-08,3.6
2023-01-09,5.35
2023-01-10,4.5
2023-01-11,7.25
2023-01-12,10.65
2023-01-13,11.75
2023-01-14,6.35
2023-01-15,1.9
2023-01-16,0.2
2023-01-17,-0.4
2023-01-18,0.65
2023-01-19,1.2
2023-01-20,1.25
2023-01-21,-0.85
2023-01-22,2.25
2023-01-23,3.1
2023-01-24,-7.05
2023-01-25,-7.4
2023-01-26,-1.35
2023-01-27,-2.65
2023-01-28,-2.3
2023-01-29,1.55
2023-01-30,1.3
2023-01-31,3.85
2023-02-01,4.65
2023-02-02,0.6
2023-02-03,1.1
2023-02-04,1.75
2023-02-05,2.45
2023-02-06,4.5
2023-02-07,3.75
2023-02-08,3.15
2023-02-09,3.95
2023-02-10,3.95
2023-02-11,4.4
2023-02-12,6.3
2023-02-13,4.95
2023-02-14,2.45
2023-02-15,1.95
2023-02-16,3.8
2023-02-17,5.9
2023-02-18,8.9
2023-02-19,6.8
2023-02-20,2.7
2023-02-21,0.5
2023-02-22,4.2
2023-02-23,6.9
2023-02-24,6.1
2023-02-25,2.15
2023-02-26,4.05
2023-02-27,7.15
2023-02-28,8.95
2023-03-01,8.55
2023-03-02,4.4
2023-03-03,7.1
2023-03-04,7.25
2023-03-05,8.2
2023-03-06,11.15
2023-03-07,14.4
2023-03-08,15.6
2023-03-09,12.15
2023-03-10,12.05
2023-03-11,12.3
2023-03-12,8.35
2023-03-13,5.1
2023-03-14,9.75
2023-03-15,13.95
2023-03-16,8.3
2023-03-17,7.9
2023-03-18,9.1
2023-03-19,10.6
2023-03-20,11.95
2023-03-21,15.4
2023-03-22,15.4
2023-03-23,12.25
2023-03-24,8.6
2023-03-25,9.55
2023-03-26,8.5
2023-03-27,8.5
2023-03-28,9.95
2023-03-29,12.2
2023-03-30,15.95
2023-03-31,15.1
2023-04-01,13.9
2023-04-02,13.0
2023-04-03,13.45
2023-04-04,14.6
2023-04-05,14.0
2023-04-06,12.25
2023-04-07,11.8
2023-04-08,10.4
2023-04-09,12.45
2023-04-10,15.65
2023-04-11,18.1
2023-04-12,13.5
2023-04-13,14.7
2023-04-14,15.1
2023-04-15,12.05
2023-04-16,10.8
2023-04-17,13.1
2023-04-18,15.65
2023-04-19,17.35
2023-04-20,21.1
2023-04-21,15.5
2023-04-22,14.25
2023-04-23,13.55
2023-04-24,13.65
2023-04-25,11.6
2023-04-26,11.1
2023-04-27,14.5
2023-04-28,19.0
2023-04-29,16.3
2023-04-30,14.7
2023-05-01,14.5
2023-05-02,17.7
2023-05-03,19.7
2023-05-04,20.55
2023-05-05,19.35
2023-05-06,13.55
2023-05-07,12.55
2023-05-08,15.0
